SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1964939,CB0009ST99-193-3,OLLA ACERO 28CM BP,False,HONGDE (HK) LIMITED,FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1967454,OI24KBPO05-B2,OI24 POLERA NINO ML PRINT BEIGE,False,STITCH (BD) KNITWEAR,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967382,MC1000OI24-SP-07,PLATO ENSALADA SP,False,"Hunan Happy Life Houseware Co.,",NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1968203,MC2000OI24-LF-33,PORTA TOALLA MADERA LINEA ORG,False,"FUZHOU JINQINGYUN IMP & EXP CO., LT",FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1968208,MC1000OI24-SP-05,SET UTENCILIOS DORADOS SP,False,CHINA LIGHT (GUANG ZHOU) HOMETREND,NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1968206,MC2000OI24-LF-43,PANERA MADERA LINEA ORG,False,"FUZHOU JINQINGYUN IMP & EXP CO., LT",NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1968158,MB0655AA99-5017-24,BOWL APERITIVO ASAS S RUSTICO AA24,False,KINGLAND PRODUCTS LIMITED,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1967405,CC50004OI24-EL-020,BOWL 13.9CM ELENA,False,KINGLAND PRODUCTS LIMITED,NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1964942,CB0035TT99-4019,SARTEN ANTIADHERENTE 24CM R.E.,False,ZHEJIANG TRIONES AOBO COMMODITY,FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1968162,MB0704OI24-1701,BOL PORCELANA L DISENO,False,KINGLAND PRODUCTS LIMITED,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1968166,MB0776OI24-045,TAZON GET COZY,False,UNSA MADENCILIK TURIZM ENERJI SERA,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1967344,MC4000OI24-CA-14,MANTEL CAIRO,False,MELVIN INTERNATIONAL,NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1966177,067312050062,GALL MINI S/AZUC AVENA VOORTMAN 142G,False,VOORTMAN COOKIES LIMITED,FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1968173,MB2014TT99-0012,SET 6 VASOS BAJOS 315CC TURQUIA.,False,GUROK PAZARLAMA VE TICARET A.S.,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1968184,MB0865AA99-1159-24,PLATO 20CM SOLID COLOR GRAFITO,False,"FUZHOU FORTUNE HOMEWARE CO.,LTD",NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1967348,MC4000OI24-CA-17,SET 4 SERVILLETA FLECOS 40X40CM C1 CAIRO,False,TEXVISTA INTERNATIONAL PTE LTD,NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1967349,MC2000OI24-LF-24,COPA VINO LF,False,"SHANXI BEIGAO HOUSEWARES CO., LTD.",NON FOOD,Francesca Meriggio,False,No completado - Nuevo
1968425,OI24DHPO04-D3,OI24 POLERA H DEPORTE MC CR PRINT CAMO,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968420,OI24DHPO03-D1,OI24 POLERA HOMBR DEPORTE SM PRINT BLACK,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1966373,OI24WMSO34K2,OI24 SOSTEN MICROF PREF PRINT MJ ZEBRA,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966368,OI24WMSO31B1,OI24 SOSTN MUJ MATERN SEAML ENC LSO BLCK,False,BSM ENTERPRISE LTD.,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1968418,OI24DHPO01-D3,OI24 POLERA HOMB DEPORTE MC CR LISA GREY,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1965024,CB2000E-OI24-FLIP-C8,CONTENEDOR FLIP 3.2L,False,FREE-FREE INDUSTRIAL CORP.,FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1964385,OI24WMSP03B1-SISA,OI24 PX3 CALCETIN MJ MC PRNT SS ANIMALPR,False,PEPWING TEXTILE IMP.&EXP. CO.LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968272,O24HOPR07-K1,O24 POLAR HOMBRE FZ BOLSILLO BLACK,False,ANHUI GARMENTS IM. & EX.CO.LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1966356,OI24WMSO15B1,OI24 SOSTEN DEP MUJ MICROF PREF WINE,False,BRENDISOL TRADING SA,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1968280,O24HOPL52-K2,O24 POLERON MODA BLACK,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968281,OI24HOPO01-B1,OI24 POLERA HOMBRE MC CV LISA WHITE,False,STITCH (BD) KNITWEAR,VESTUARIO,Paula Molina,False,No completado - Nuevo
